"操作","ID","问题","标准答案","备用答案(JSON)","分类","标签","业务域","状态","启用","版本","修改说明"
"KEEP","416","AI 图片文字错乱怎么办？","建议优先尝试 gpt-image-2.0。它支持多语言文本渲染，文本可读性更高，也更适合需要文字排版、局部编辑和布局控制的图片任务。","","操作流程","AI图片文字乱码怎么解决,AI图文字错乱咋办,gpt-image-2.0能解决图片文字混乱吗,AI生成图片文字不清晰有啥办法,图片文字渲染出错如何修复","image","approved","1","1",""
"KEEP","417","封面图推荐用哪个图片模型？","封面、海报和高质量视觉概念图可以优先选择 NanoBanana Pro、wan2.7-image-pro 或 gpt-image-2.0，具体可根据是否需要文字、画质和风格控制来决定。","","操作流程","做封面图该用哪个AI模型？,封面图推荐啥模型？,封面图选哪个图片模型好？,做封面用NanoBanana还是别的？,有没有推荐的封面图模型？","image","approved","1","1",""
"KEEP","418","短剧海报图用什么模型？","封面、海报和高质量视觉概念图可以优先选择 NanoBanana Pro、wan2.7-image-pro 或 gpt-image-2.0，具体可根据是否需要文字、画质和风格控制来决定。","","操作流程","短剧海报图用啥模型好？,短剧封面图推荐什么AI工具？,做短剧海报用哪个模型？,短剧海报生成模型哪个强？,短剧宣传海报用啥模型生成？","image","approved","1","1",""
"KEEP","419","需要精美视觉概念图怎么选？","封面、海报和高质量视觉概念图可以优先选择 NanoBanana Pro、wan2.7-image-pro 或 gpt-image-2.0，具体可根据是否需要文字、画质和风格控制来决定。","","操作流程","咋选好看的视觉概念图？,视觉概念设计图怎么挑选？,概念视觉图怎么挑啊？,精美概念图该咋选？,如何挑选视觉概念图？","image,model","approved","1","1",""
"KEEP","420","脚本生成后可以继续修改吗？","可以继续修改。AI 生成内容建议作为初稿，您可以在文本节点里继续改写、润色或扩写，也可以重新生成多个版本进行对比。","","操作流程","脚本生成后还能改不？,脚本生成后能否继续编辑？,生成的脚本还能再调整吗？,脚本生成后可以修吗？,AI生成脚本后能改吗？","script","approved","1","1",""
"KEEP","421","系统生成的剧情能人工调整吗？","可以继续修改。AI 生成内容建议作为初稿，您可以在文本节点里继续改写、润色或扩写，也可以重新生成多个版本进行对比。","","操作流程","系统生成的剧情能手动修改吗？,AI生成的剧情咋改？,自动生成的剧情还能人工调整不？,系统生成的剧情能不能自己改？,剧情是AI生成的,可以手动修改吗？","canvas,script","approved","1","1",""
"KEEP","422","AI 生成的分集脚本不满意怎么办？","可以继续修改。AI 生成内容建议作为初稿，您可以在文本节点里继续改写、润色或扩写，也可以重新生成多个版本进行对比。","","操作流程","AI写的分集脚本不好,怎么改？,对AI生成的分集脚本不满意,能继续修改吗？,AI出的分集剧本不满意咋整？,AI生成的分集脚本不满意,可以重新生成吗？,AI脚本不满意,咋修改？","script","approved","1","1",""
"KEEP","423","分镜生成后能改资产吗？","可以。剧本模式支持在分镜大纲中直接添加人物、场景、道具等资产","","操作流程","分镜生成后能改资源吗？,分镜做好了还能改资产不？,分镜定稿后能调整资产吗？,分镜完成后能修改物品吗？,分镜画完了能换资产不？","script,asset","approved","1","1",""
"KEEP","424","剧情能人工调整吗？","可以继续修改。AI 生成内容建议作为初稿，您可以在文本节点里继续改写、润色或扩写，也可以重新生成多个版本进行对比。","","操作流程","剧情能不能自己改？,AI生成的剧情可以手动修改吗？,剧情咋人工调整？,剧本能人工润色吗？,内容还能手动改吗？","script","approved","1","1",""
"KEEP","425","分镜里的人物场景道具可以补充吗？","可以。剧本模式支持在分镜大纲中直接添加人物、场景、道具等资产，也可以继续补充新的镜头内容。","","操作流程","分镜里能加人物场景道具不？,分镜里的资产可以补充吗？,如何在分镜中添加人物场景和道具？,分镜大纲里能加人物场景道具吗？,分镜内的人物场景道具能增加吗？","script,asset","approved","1","1",""
"KEEP","426","生成好的分镜还可以调整素材吗？","可以。剧本模式支持在分镜大纲中直接添加人物、场景、道具等资产，也可以继续补充新的镜头内容。","","操作流程","分镜画好了还能再改素材不？,已经生成的分镜能调整资产吗？,分镜生成后咋加人物场景？,分镜完成后可以修改添加的元素吗？,在剧本模式里能对分镜添加道具吗？","asset,canvas","approved","1","1",""
"KEEP","427","系统能自动配音配乐和剪辑吗？","教程中提到短剧视频合成可一键合成完整短剧视频，并自动完成配音、配乐与剪辑。具体效果会与当前生成配置和素材质量有关。","","功能介绍","系统能不能自动配音配乐和剪辑啊？,这个工具能自动加旁白,背景音乐和编辑吗？,短剧合成能不能自己搞定配音,配乐和剪片？,系统会自动配音,配乐和剪辑吗？,咋自动给视频配音配乐和剪辑呢？","video","approved","1","1",""
"KEEP","428","视频合成会包含配音配乐吗？","教程中提到短剧视频合成可一键合成完整短剧视频，并自动完成配音、配乐与剪辑。具体效果会与当前生成配置和素材质量有关。","","功能介绍","视频合成会带配音和配乐吗？,短剧合成会自动添加配音和配乐吗？,视频生成时能不能自动配上音和音乐？,合成视频有配音配乐吗？,视频合成包不包括配音和背景音乐？","video","approved","1","1",""
"KEEP","429","短剧视频合成有哪些自动能力？","教程中提到短剧视频合成可一键合成完整短剧视频，并自动完成配音、配乐与剪辑。具体效果会与当前生成配置和素材质量有关。","","功能介绍","短剧视频合成都能自动干啥？,短剧视频合成有哪些自动功能？,短剧合成能自动做哪些事？,短剧视频自动合成能力有哪些？,短剧视频合成都支持什么自动操作？","video","approved","1","1",""
"KEEP","430","如何减少手动配置视频的成本？","视频节点默认使用全能参考模式，系统会根据输入内容、参考素材和创作场景自动适配合适的生成方式。这样能减少手动选择模式和反复配置的成本。","","功能介绍","视频怎么才能少手动配置省点事？,如何降低视频手动配置的成本？,咋减少视频手配的麻烦？,如何避免视频手动配置成本？,想省掉视频手动配置的步骤咋办？","video","approved","1","1",""
"KEEP","431","视频节点为什么会自动适配生成方式？","视频节点默认使用全能参考模式，系统会根据输入内容、参考素材和创作场景自动适配合适的生成方式。这样能减少手动选择模式和反复配置的成本。","","功能介绍","为什么视频节点会自动匹配生成方式？,视频节点自动适配生成模式是啥原因？,视频节点为啥自动选择生成方式？,视频模块自动适配生成策略的原因？,视频处理节点自动适配生成方式是怎么回事？","canvas,video","approved","1","1",""
"KEEP","432","全能参考能省哪些操作？","视频节点默认使用全能参考模式，系统会根据输入内容、参考素材和创作场景自动适配合适的生成方式。这样能减少手动选择模式和反复配置的成本。","","功能介绍","用了全能参考能省哪些步骤？,全能参考能减少哪些操作啊？,全能参考模式能省啥工作？,全参能帮我们省掉哪些步骤？,智能参考能免去哪些手动操作？","canvas,video","approved","1","1",""
"KEEP","433","生成前怎么确认引用的素材没选错？","可以把鼠标移入参考素材进行快速预览，确认引用内容是否正确。建议生成前检查角色、场景、动作参考和文本要求是否匹配。","","操作流程","生成前咋看素材有没有选错？,如何确认引用的资料没搞错？,生成前怎么快速预览参考内容是否正确？,引用素材选错咋办？生成前得检查啥？,生成前怎样核对参考素材是否匹配？","asset","approved","1","1",""
"KEEP","434","全能参考引用素材太多怎么检查？","可以把鼠标移入参考素材进行快速预览，确认引用内容是否正确。建议生成前检查角色、场景、动作参考和文本要求是否匹配。","","操作流程","素材太多咋检查啊？,引用素材太多怎么核对？,参考资料太多咋预览？,如何快速浏览过多参考素材？,参考素材太多怎么办？","asset,image","approved","1","1",""
"KEEP","435","素材引用准确性怎么确认？","可以把鼠标移入参考素材进行快速预览，确认引用内容是否正确。建议生成前检查角色、场景、动作参考和文本要求是否匹配。","","操作流程","咋确认素材引用准不准？,素材引用正确性怎么核实？,怎么检查素材引用有没有问题？,咋知道素材引用对不对？,素材引用的准确性怎么验证？","asset","approved","1","1",""
"KEEP","436","为什么建议先生成大纲再生成分集脚本？","建议按步骤推进，因为大纲能先确定故事结构和人物关系，分集脚本再补充具体剧情与对白。结构清楚后再生成资产、分镜和视频，结果通常会更稳定。","","操作流程","为啥要先搞大纲再写分集剧本？,为什么建议先制定故事框架再写分集脚本？,先有大纲再做分集脚本是咋回事？,为何先大纲后分集脚本？,为啥建议先搭结构再弄各集内容？","script","approved","1","1",""
"KEEP","437","短剧创作为什么要分步骤？","建议按步骤推进，因为大纲能先确定故事结构和人物关系，分集脚本再补充具体剧情与对白。结构清楚后再生成资产、分镜和视频，结果通常会更稳定。","","操作流程","短剧为啥要分步骤来？,微短剧创作必须按流程走吗？,拍短剧为什么要一步步做？,短剧制作分阶段的原因是什么？,写短剧剧本为啥要分步进行？","canvas,script,video","approved","1","1",""
"KEEP","438","能不能直接跳到视频生成？","建议按步骤推进，因为大纲能先确定故事结构和人物关系，分集脚本再补充具体剧情与对白。结构清楚后再生成资产、分镜和视频，结果通常会更稳定。","","操作流程","能不能跳过大纲直接做视频？,不写分集脚本能直接生成视频吗？,视频生成一定要先规划结构吗？,咋能跳过中间步骤直接出视频？,可不可以省略步骤直接跳到视频制作？","onboarding","approved","1","1",""
"KEEP","439","画布里素材太多怎么管理？","建议通过清晰命名、节点连接、资产库保存和模板复用来管理。上传素材会自动同步文件名，重名会加序号，也能减少素材混淆。","","操作流程","画布里素材太多咋管理？,画布上资源太多如何整理？,画布里素材太多怎么处理？,画布素材太多咋办？,画布上元素太多怎么归类？","asset,canvas","approved","1","1",""
"KEEP","440","节点很多会不会乱？","建议通过清晰命名、节点连接、资产库保存和模板复用来管理。上传素材会自动同步文件名，重名会加序号，也能减少素材混淆。","","操作流程","节点太多会乱吗？,节点多了咋整,会不会乱？,节点数量多会变得混乱吗？,节点多了怎么管理才能不乱？,节点太多咋防止乱套？","canvas","approved","1","1",""
"KEEP","441","项目变复杂后怎么整理？","建议通过清晰命名、节点连接、资产库保存和模板复用来管理。上传素材会自动同步文件名，重名会加序号，也能减少素材混淆。","","操作流程","项目太大了咋整理？,项目规模变大后怎么管理？,项目乱掉后怎么处理？,项目复杂后怎么用模板和命名管理？,项目变复杂了,如何梳理？","asset","approved","1","1",""
"KEEP","442","能把常用流程保存下来下次再用吗？","可以使用个人模板。把常用画布结构保存为模板后，后续可以直接调取，适合重复制作类似短剧、广告或分镜流程。","","功能介绍","常用流程咋存成模板下次用？,怎么把常用画布存为模板？,保存常用流程为模板咋弄？,能把常用流程设成模板重复用吗？,常用流程如何保存为模板下次使用？","canvas","approved","1","1",""
"KEEP","443","每次都要重新搭建节点吗？","可以使用个人模板。把常用画布结构保存为模板后，后续可以直接调取，适合重复制作类似短剧、广告或分镜流程。","","功能介绍","每次都得重新搭节点吗？,节点能保存成模板复用不？,咋样才能不用每次都新建节点？,有没有直接调用的模板？,节点搭建可以存模板下次用吗？","canvas","approved","1","1",""
"KEEP","444","常用画布结构怎么复用？","可以使用个人模板。把常用画布结构保存为模板后，后续可以直接调取，适合重复制作类似短剧、广告或分镜流程。","","功能介绍","常用画布结构咋复用？,如何套用之前的画布布局？,能不能把画布结构存成模板再用？,常用画布模板怎么重复使用？,怎么调用保存的画布格式？","canvas","approved","1","1",""
"KEEP","445","官方预设模板适合什么时候用？","可以优先使用官方预设模板。官方模板适合常见创作场景，能帮助新手快速开始，也能减少从零搭建画布的时间。","","功能介绍","官方预设模板啥时候用比较好？,系统预设模板适用于哪些场景？,官方模板适合啥时候用？,预设模板在什么情况下使用？,官方预设模板的适用时机？","onboarding","approved","1","1",""
"KEEP","446","建节点吗？","可以使用个人模板。把常用画布结构保存为模板后，后续可以直接调取，适合重复制作类似短剧、广告或分镜流程。","","操作流程","咋建节点啊？,怎么新建节点？,建节点有啥快捷方法？,如何创建节点？,能用模板建节点吗？","canvas","approved","1","1",""
"KEEP","447","新手应该用模板吗？","可以优先使用官方预设模板。官方模板适合常见创作场景，能帮助新手快速开始，也能减少从零搭建画布的时间。","","操作流程","初学者用官方样板行吗？,小白用模版咋样？,刚入门该不该用预设模板？,新手优先用官方模板好不好？","onboarding","approved","1","1",""
"KEEP","448","不会搭流程可以直接套模板吗？","可以优先使用官方预设模板。官方模板适合常见创作场景，能帮助新手快速开始，也能减少从零搭建画布的时间。","","操作流程","直接套官方模板行不行？,不会做流程能用自带模板吗？,不会搭流程直接用预设模板可以吗？,能不能直接套用官方自带的模板？,流程不会弄,直接套模板可以吗？","onboarding","approved","1","1",""
"KEEP","449","我想做短剧但不知道从哪开始？","建议先从一句话灵感开始，生成剧本大纲，再生成分集脚本。确认剧情后，让系统匹配人物、场景和道具，再生成分镜和视频。","","操作流程","想做短剧,该从哪儿着手？,想拍短剧,咋开始？,我想做微短剧,不知道从哪里开始？,做短剧的第一步是什么？,短剧创作怎么起步？","onboarding,script","approved","1","1",""
"KEEP","450","新手第一次用 DramaTV 怎么开始？","建议先从一句话灵感开始，生成剧本大纲，再生成分集脚本。确认剧情后，让系统匹配人物、场景和道具，再生成分镜和视频。","","操作流程","第一次用DramaTV该咋开始？,DramaTV新手入门怎么弄？,刚用DramaTV,怎么上手？,第一次用DramaTV怎么起步？,DramaTV初次使用流程是啥？","onboarding,script,video","approved","1","1",""
"KEEP","451","完全没经验怎么走第一步？","建议先从一句话灵感开始，生成剧本大纲，再生成分集脚本。确认剧情后，让系统匹配人物、场景和道具，再生成分镜和视频。","","操作流程","我是新手,第一步该咋做？,零基础怎么开始写剧本？,完全没经验,怎么迈出第一步？,刚开始啥都不懂,从哪开始？,没经验怎么入门剧本创作？","canvas,script,video","approved","1","1",""
"KEEP","452","生成出来的内容能不能人工干预？","可以人工干预。DramaTV 更像可编辑的 AI 创作画布，系统能自动生成内容，但您可以继续修改文本、调整分镜、替换资产、编辑图片或裁剪视频。","","功能介绍","生成的内容能自己改吗？,系统生成的结果能否人工编辑？,AI生成的东西可以人为调整吗？,自动出来的内容能手动修改不？,生成内容可否手动调整？","canvas,image,video","approved","1","1",""
"KEEP","453","DramaTV 是全自动还是可编辑？","可以人工干预。DramaTV 更像可编辑的 AI 创作画布，系统能自动生成内容，但您可以继续修改文本、调整分镜、替换资产、编辑图片或裁剪视频。","","功能介绍","DramaTV 是全自动还是能自己改？,DramaTV 能不能人工编辑？,DramaTV 是纯自动的吗？,DramaTV 支持手动调整吗？,DramaTV 到底咋用？是自动还是能改？","canvas,image,video","approved","1","1",""
"KEEP","454","AI 生成后还能自己调整吗？","可以人工干预。DramaTV 更像可编辑的 AI 创作画布，系统能自动生成内容，但您可以继续修改文本、调整分镜、替换资产、编辑图片或裁剪视频。","","功能介绍","AI生成的内容还能再改吗？,AI生成后可以手动编辑吗？,AI生成的稿子能自己调整不？,AI生成后能自己修改吗？,AI生成的结果还能调整吗？","canvas,script,asset,image,video","approved","1","1",""
"KEEP","455","为什么要用节点方式创作？","节点方式能把文本、图片、视频、资产关系都放在同一张画布里，方便连接、复用和追踪上下文。做短剧这种多素材流程时，会比单纯聊天更清晰。","","功能介绍","为啥要用节点方式创作？,节点创作有啥好处？,用节点方式做创作的理由是什么？,节点方式创作的优势在哪？,为什么要采用节点式创作？","canvas,image,video,asset","approved","1","1",""
"KEEP","456","节点创作相比普通聊天有什么好处？","节点方式能把文本、图片、视频、资产关系都放在同一张画布里，方便连接、复用和追踪上下文。做短剧这种多素材流程时，会比单纯聊天更清晰。","","功能介绍","节点创作比普通聊天好在哪？,节点方式比聊天模式有啥优势？,为啥节点创作比普通对话更清晰？,节点创作和聊天比有啥好处？,节点创作相对普通聊天优点有哪些？","canvas","approved","1","1",""
"KEEP","457","画布节点有什么优势？","节点方式能把文本、图片、视频、资产关系都放在同一张画布里，方便连接、复用和追踪上下文。做短剧这种多素材流程时，会比单纯聊天更清晰。","","功能介绍","画布节点有啥好处？,画布节点的优势在哪？,节点功能有啥用？,用画布节点有什么好处？,画布节点好在哪？","canvas,image,video,asset","approved","1","1",""
"KEEP","458","可以生成分屏布局吗？","适合。无限画布不受传统轨道束缚，您可以自由排列视频、图片和文本节点，用来规划分屏布局、复杂故事板和多镜头关系。","","功能介绍","支持分屏布局吗？,咋弄分屏布局啊？,能不能做多屏布局？,分屏功能有吗？,可以搞画中画布局不？","canvas","approved","1","1",""
"KEEP","459","复杂故事板怎么规划？","适合。无限画布不受传统轨道束缚，您可以自由排列视频、图片和文本节点，用来规划分屏布局、复杂故事板和多镜头关系。","","功能介绍","复杂故事板咋规划啊？,复杂分镜怎么设计？,复杂故事板咋弄？,复杂故事板怎么安排？,复杂故事板怎么策划？","canvas","approved","1","1",""
"KEEP","460","无限画布适合做故事板吗？","适合。无限画布不受传统轨道束缚，您可以自由排列视频、图片和文本节点，用来规划分屏布局、复杂故事板和多镜头关系。","","功能介绍","无限画布能不能做分镜？,用无限画布做故事板咋样？,无限板适合搞故事板吗？,画布做故事板好用不？,无限画布适不适合做分镜脚本？","canvas","approved","1","1",""
"KEEP","461","图片工具栏和视频工具栏一样吗？","不同节点的工具栏会根据素材类型提供不同能力。图片节点常见重绘、擦除、高清、裁剪、抠图等；视频节点更偏向关键帧、裁剪、解析和画质优化。","","功能介绍","图片工具栏和视频工具栏是一样的吗？,图片工具和视频工具有啥区别？,图片工具栏跟视频工具栏一样不？,图片和视频的工具栏功能相同吗？,图片工具栏和视频工具一样吗？","image,video","approved","1","1",""
"KEEP","462","不同节点的工具栏功能一样吗？","不同节点的工具栏会根据素材类型提供不同能力。图片节点常见重绘、擦除、高清、裁剪、抠图等；视频节点更偏向关键帧、裁剪、解析和画质优化。","","功能介绍","各个节点的工具栏功能有区别吗？,不同节点的工具栏作用相同不？,节点不同,工具栏功能一样吗？,各节点工具栏的能力一样不一样？,节点工具栏功能是不是都一样？","canvas","approved","1","1",""
"KEEP","463","为什么有些工具只在图片或视频节点出现？","不同节点的工具栏会根据素材类型提供不同能力。图片节点常见重绘、擦除、高清、裁剪、抠图等；视频节点更偏向关键帧、裁剪、解析和画质优化。","","功能介绍","为什么某些功能只在图片或视频位置显示？,有些工具咋只在图片或视频节点出现？,为啥视频节点才有某些选项？,同个功能为啥只在图片或视频区有？,工具只针对图片或视频素材出现是啥意思？","canvas","approved","1","1",""
"KEEP","464","图片高质量输出前要注意什么？","建议先确认画面比例、主体位置和清晰度。如果需要用于成片，可以使用高清提升分辨率，必要时裁剪、扩图或抠图，让素材更适合视频制作。","","操作流程","图片高质量输出得注意啥？,图片高画质导出前要检查哪些？,高清出图前咋办？,图片高清导出前需要留意啥？,高质量输出图片前有哪些注意事项？","image","approved","1","1",""
"KEEP","465","图片做成片素材前需要处理吗？","建议先确认画面比例、主体位置和清晰度。如果需要用于成片，可以使用高清提升分辨率，必要时裁剪、扩图或抠图，让素材更适合视频制作。","","操作流程","图片做成片素材前要咋处理？,照片用作视频素材前需要先处理吗？,做视频之前,图片需要先调整吗？,图片做视频素材前,要先修图吗？,图片素材要弄成视频,事前咋处理？","image","approved","1","1",""
"KEEP","466","图片用于视频制作前怎么优化？","建议先确认画面比例、主体位置和清晰度。如果需要用于成片，可以使用高清提升分辨率，必要时裁剪、扩图或抠图，让素材更适合视频制作。","","操作流程","图片做成视频前怎么处理,图片转视频要注意什么,图片成片前怎么调","image","approved","1","1",""
"KEEP","467","做角色设定图时该怎么描述？","建议写清楚角色年龄、性别、外貌特征、服装、表情、姿态、场景和画风。生成满意后保存为资产，后续继续引用同一角色素材。","","操作流程","角色设定图咋描述？,怎么做角色人设图的描述？,画人物设定时该怎么写描述？,角色设计图描述有啥要点？,描述角色设定该注意啥？","asset,image","approved","1","1",""
"KEEP","468","角色图提示词需要写什么？","建议写清楚角色年龄、性别、外貌特征、服装、表情、姿态、场景和画风。生成满意后保存为资产，后续继续引用同一角色素材。","","操作流程","角色图prompt要写啥？,人设提示词需要包含哪些要素？,角色形象描述指令该怎么写？,画角色图时提示词咋写？,角色设计提示词要包括什么？","asset,image","approved","1","1",""
"KEEP","469","人物图生成不稳定怎么办？","建议写清楚角色年龄、性别、外貌特征、服装、表情、姿态、场景和画风。生成满意后保存为资产，后续继续引用同一角色素材。","","操作流程","人物图老是变怎么办？,角色生成不稳定咋整？,人像生成总不一致怎么解决？,人物形象不固定有啥办法？,AI画人物每次都不一样怎么办？","asset,image","approved","1","1",""
"KEEP","470","做场景图时该怎么描述？","建议描述场景类型、时间、光线、氛围、构图、风格和是否有人物。需要统一风格时，可以配合预设风格或引用已有场景资产。","","操作流程","做场景图时咋描述啊？,场景设定该怎么描述？,画场景图时描述要点有哪些？,场景图描述怎么搞？,如何描述场景图的要素？","image","approved","1","1",""
"KEEP","471","场景生成需要提供哪些信息？","建议描述场景类型、时间、光线、氛围、构图、风格和是否有人物。需要统一风格时，可以配合预设风格或引用已有场景资产。","","操作流程","生成场景得提供啥信息？,场景生成需要哪些要素？,场景生成要提供什么？,生成场景需要哪些参数？,场景生成要哪些东西？","asset,image","approved","1","1",""
"KEEP","472","场景图想更准确怎么办？","建议描述场景类型、时间、光线、氛围、构图、风格和是否有人物。需要统一风格时，可以配合预设风格或引用已有场景资产。","","操作流程","场景图怎么才能更准确？,场景图想更精确有啥办法？,怎样让场景图更准些？,场景图提高准确度咋做？,场景图要更准该咋描述？","asset,image","approved","1","1",""
"KEEP","473","做视频镜头提示词要写什么？","建议写清楚人物、动作、场景、镜头运动、情绪氛围、画面风格和关键变化。如果有参考图或前后帧，也建议一起引用。","","操作流程","视频镜头提示词要包含哪些内容？,写镜头提示词时该写啥？,做视频的分镜提示词具体写什么？,视频镜头指令怎么写？,镜头提示词需要列出什么要素？","video","approved","1","1",""
"KEEP","474","视频提示词怎么写更有效？","建议写清楚人物、动作、场景、镜头运动、情绪氛围、画面风格和关键变化。如果有参考图或前后帧，也建议一起引用。","","操作流程","视频提示词咋写才有效？,视频prompt怎么写效果好？,如何写出高质量的视频提示词？,写视频提示词有什么技巧？,视频提示词怎样写更管用？","video","approved","1","1",""
"KEEP","475","生成镜头时需要说明哪些信息？","建议写清楚人物、动作、场景、镜头运动、情绪氛围、画面风格和关键变化。如果有参考图或前后帧，也建议一起引用。","","操作流程","做镜头时得说哪些东西？,写分镜脚本要注明什么？,镜头该怎么描述？,拍镜头时要交代啥？,镜头制作需要写明哪些要素？","canvas,script","approved","1","1",""
"KEEP","476","自动生成视频模式适合什么用户？","可以选择自动生成视频模式。它会自动整合提示词并生成视频，更适合希望快速出片、不想手动修改提示词的场景。","","操作流程","自动生成视频模式适合啥样的人？,AI自动出片模式适合什么人群？,自动生成视频功能适合哪些用户？,自动出片模式给谁用的？,自动生成视频适合谁？","video","approved","1","1",""
"KEEP","477","不想改提示词可以直接生成吗？","可以选择自动生成视频模式。它会自动整合提示词并生成视频，更适合希望快速出片、不想手动修改提示词的场景。","","操作流程","不想改提示词咋直接出视频？,不改prompt能自动生成吗？,不修改提示词直接出片可以吗？,不改提示词咋一键生成视频？,不调整提示词能直接生成？","video","approved","1","1",""
"KEEP","478","想快速出视频怎么选？","可以选择自动生成视频模式。它会自动整合提示词并生成视频，更适合希望快速出片、不想手动修改提示词的场景。","","操作流程","快速出视频选啥模式？,咋能快速生成视频？,想快速出片怎么选？,快速出视频该选哪种？,自动生成视频模式怎么选？","video","approved","1","1",""
"KEEP","479","优化模式适合什么情况？","建议选择只生成提示词模式，也就是优化模式。系统会先优化提示词，您可以再人工修改、增减物料，适合对镜头细节有要求的情况。","","操作流程","优化模式啥时候用？,只生成提示词模式适合什么场景？,优化模式在什么情况下好使？,什么时候用提示词优化模式？,优化模式适合哪些镜头细节要求？","model","approved","1","1",""
